Region,Speaker,Time,POS,VowelInWord,CoArtContext,Stress,VowelType,Duration,F1,F2,F3
South,WT_1,01:27,,t(o)rnu,t_r,,,95,580,1484,2604
South,WT_1,01:28,,torn(u),n_l,,,160,480,1117,2490
South,WT_1,01:28,,l(i)vaDea,l_v,,,72,384,2043,2764
South,WT_1,01:28,,liv(a)Dea,v_D,,,147,957,1694,2995
South,WT_1,01:28,,livaD(e)a,D_a,,,37,645,1894,2511
South,WT_1,01:28,,livaDe(a),e_$,,,52,736,2037,2503
South,WT_1,01:29,,f(@)tsea,f_ts,,,50,442,1583,2807
South,WT_1,01:29,,f@ts(e)a,ts_a,,,46,623,2116,2900
South,WT_1,01:29,,f@tse(a),e_$,,,172,794,2077,3008
South,WT_1,01:30,,k(u)m,k_m,,,77,819,1822,3095
South,WT_1,01:30,,f(a)tsi,f_ts,,,95,696,1890,2952
South,WT_1,01:30,,fats(i),ts_p,,,108,326,2050,2852
South,WT_1,01:30,,p(i)sa,p_s,,,117,358,2310,3041
South,WT_1,01:30,,pis(a),s_l,,,84,731,1656,3130
South,WT_1,01:30,,l(a),l_tS,,,118,659,1638,2700
South,WT_1,01:31,,tS(o)ari,tS_a,,,34,564,1572,2691
South,WT_1,01:31,,tSo(a)ri,o_r,,,89,809,1618,3007
South,WT_1,01:31,,tSoar(i),r_$,,,67,367,2119,2984
South,WT_1,01:31,,m(i)u,m_u,,,81,427,1284,3040
South,WT_1,01:31,,mi(u),i_m,,,189,503,1365,2410
South,WT_1,01:31,,m(e)au,m_a,,,60,681,2142,3101
